EID,ArticleType,Abstract,College,Department,Year
2-s2.0-73549107666,Article,"This study contributes to our understanding of leadership in public sector organizations by investigating the effect of organizational structure on the transformational leadership practices of municipal chief administrative officers. Using data from a national survey of senior managers in local government, the findings of this study suggest a number of possible explanations for why public sector organizations exhibit higher levels of transformational leadership than what scholars traditionally expect. Our findings suggest that the structure of these organizations may not be as bureaucratic as commonly believed and that some bureaucratic characteristics had little, if any, adverse affect on the prevalence or practice of transformational leadership behaviors. In particular, although organizational hierarchy and inadequate lateral/upward communication were associated with lower transformational leadership, no relationship was found between transformational leadership behaviors and two types of organizational red tape. Contrary to expectations in the mainstream leadership literature, however, the use of performance measurement by municipal organizations was associated with a significant increase in reported transformational leadership behaviors.",Liberal Arts and Sciences,Political Science and Public Administration,2010.0
2-s2.0-73649095510,Article,"Several studies have reported that traumatic brain injury (TBI) has a smaller effect on neuropsychological test scores, in contrast to the large effect of poor effort on test performance. Consequently, many authors have concluded that effort needs to be measured routinely and that it is necessary to control for poor effort when measuring the effects of brain disease or injury on performance. Recently, however, Bowden, Shores, and Mathias (2006) have challenged these notions. They argued that the Immediate Recognition subtest of the Word Memory Test (Green Flaro, 2003), an effort measure, is another verbal memory test rather than a measure of cognitive effort. In this study we re-examine the data from Bowden et al. (2006) and Green, Rohling, Lees-Haley, and Allen (2001) to identify differences between the two studies that might account for their contradictory conclusions. In both sets of data, reanalysis showed that effort explains approximately five times more of the variance in composite neuropsychological test scores than TBI severity. Importantly, scores on the Word Memory Test-Immediate Recognition (WMT-IR) were not correlated with measures of TBI severity, and were not found to correlate with major variables known to be measuring ability (e.g., years of education). These findings challenge the conclusions offered by Bowden and colleagues (2006).",Liberal Arts and Sciences,Psychology,2010.0
2-s2.0-73649099878,Article,"Empirical and anecdotal evidence suggests that businesses that act with an entrepreneurial orientation enjoy superior performance. Our research investigates whether nonprofit, religious congregations can benefit from similar initiatives. We based our hypotheses on the Rational Choice Theory of Religion, which was developed by social scientists to bring economic analysis to the understanding of the effects of competition among nonprofit organizations. Using a sample of 250 religious congregations in five different geographical markets, an entrepreneurial orientation is found to be positively associated with organizational performance. A hypothesized interaction effect between environmental munificence and entrepreneurial orientation is assessed.",Business,Management,2010.0
2-s2.0-73649130198,"General Publications (Press, Editorials, Letters)","Orofacial clefts are common birth defects that may impose a large burden on the health, quality of life, and socioeconomic well-being of affected individuals and families. They also result in significant healthcare use and costs. Understanding the impact of orofacial clefts on these outcomes is important for identifying unmet needs and developing public policies to reduce the burden of orofacial clefts at the individual, family and societal levels. This paper reviews and summarizes the main findings of recent studies that have evaluated the impact of orofacial clefts on these outcomes, with a focus on quality of life, socioeconomic outcomes, long-term health, and healthcare use and costs. Several studies identify an increased burden of orofacial clefts on these outcomes, but some of the findings are inconsistent. A summary of the primary limitations of the studies in this area is presented, along with recommendations and directions for future research.",CHHS,Public Health,2010.0
2-s2.0-73849089270,Article,"This paper focuses on the assignment of N discrete points among K geometrically constrained robots and determination of the order in which the points should be processed by the robots. This path planning problem is directly motivated by an industrial laser drilling system with two robots that are constrained to translate along a common line while satisfying collision avoidance constraints. The points lie on a planar base plate that translates normal to the axis of motion of the robots. The geometric constraints on the motions of the robots lead to constraints on points that can be processed simultaneously. We use a two step approach to solve the path planning problem: 1) Splitting Problem: Assign the points to the K robots, subject to geometric constraints, to maximize parallel processing of the points. 2) Ordering Problem: Find an order of processing the split points by formulating and solving a multidimensional Traveling Salesman Problem (TSP) in the K-tuple space with an appropriately defined metric to minimize the total travel cost. For K = 2, we solve the splitting problem optimally in O(N3) time by converting it to a maximum cardinality matching problem. Since this is too slow for large datasets, we also provide a greedy O(N log N) algorithm. We provide computational results showing that the greedy algorithm solution is very close to the optimal solution for large datasets. For the ordering problem we present local search based heuristics to improve the multidimensional TSP tour. We give computational results for the ordering problem and for the overall performance gain obtained (over a single robot system) by using our algorithm. Finally, we extend our approach to a K-robot system and give computational results for K = 4. Note to Practitioners-This paper presents techniques to plan the motions of multiple robots to visit and process a given set of points, subject to geometric constraints on the robot motions. This point set coverage task is motivated by a laser drilling application for electronics manufacturing. The goal is to minimize the time taken to visit the points by parallelizing the robot operations while avoiding robot collisions. Similar tasks arise in many applications including drilling, electronics manufacturing, circuit testing, spot welding, and sensor network data collection. We model the assignment of points in the plane to robots as a matching problem and the point traversal order generation as a Traveling Salesman Problem. We present effective algorithms to plan the motions of the robots for large data sets (involving hundreds of thousands of points), and demonstrate the feasibility of our approach for 2 and 4 robots.",Computing and Informatics,Computer Science,2010.0
2-s2.0-73849098684,Article,"The aim of this chapter is to find the appropriate features for describing sounds of particular instruments by tracking changes of some parameters in time. Polytimbral mixes, where spectra of compounding sounds overlap, were chosen to test classifiers. Paper shows the comparison of results obtained from classification performed using sets of sound features with and without new temporal features proposed by authors.",Computing and Informatics,Computer Science,2010.0
2-s2.0-73849118694,Article,"Computer storage and network techniques have brought a tremendous need to find a way to automatically index digital music recordings. In this chapter, state of the art acoustic features for timbre automatic indexing are explored to construct efficient classification models, such as decision tree and KNN. The authors built a database containing more than one million music instrument sound slices, each described by a large number of features including standard MPEG7 audio descriptors, features for speech recognition, and many new audio features developed by the authors, spanning from temporal space to spectral domain. Each classification model was tuned with feature selection based on its distinct characteristics for the blind sound separation system. Based on the experimental results, authors proposed a new framework for MIR with multiple classifiers trained on different features. Inspired by the human recognition experience, timbre estimation based on the hierarchical structure of musical instrument families was investigated. A framework for timbre automatic indexing based on Cascade Classification System was proposed. The authors also discussed the issue of features and classifiers selection during the cascade classification process.",Computing and Informatics,Computer Science,2010.0
2-s2.0-73949090063,Article,"Latino immigrants have unique stressors that can influence mental health. The challenges of adapting to a new society include language barriers, separation from family, and feelings of loss, which can lead to depression. Low health literacy may make it difficult to obtain health care services, and depression may then go untreated. This secondary data analysis examined the relationships of immigration demands, health literacy, and depression in a sample of recent Latino immigrants. Depressive symptoms were a significant problem; 26% of the participants reported symptoms that were suggestive of depression. Furthermore, low health literacy and greater immigration demands predicted higher depression scores. The study suggests that recent Latino immigrants would benefit from health literacy training, education on depressive symptoms, and better access to mental health services. Latinos who do access health care services need to be screened for depression; furthermore, home health care nurses can promote access to support and health care services.",CHHS,Nursing,2010.0
2-s2.0-73949093718,Article,"The purpose of this pilot study was to examine the effects of personal characteristics on quality of life (QOL) among African Americans receiving palliative care. Although an important goal of palliative care is to improve the client's QOL, no studies were found examining the QOL of African Americans receiving palliative care. The study sample included African Americans receiving palliative care in inpatient settings or through enrollment in a hospice program. Data were collected using a structured interview guided by five questionnaires to measure QOL, physical performance, spirituality, social support, and family support/satisfaction. Data were analyzed using descriptive statistics, Pearson r correlation coefficients, and multiple regression analysis. The total sample (N = 16) was predominately single, female, and 50 to 59 years old. There was a significant relationship between QOL and religious and spiritual coping and between QOL and social support. Participant recruitment was a significant issue in this study.",CHHS,Public Health,2010.0
2-s2.0-73949118694,Article,"The integration of assistive robots into the health sector requires an interdisciplinary team of researchers capable of studying and addressing issues that arise in human-robot interaction scenarios. In particular, current and future advancements in technologies demand a unique partnership between engineering and the health sciences to develop clinically relevant assistive robots. In this article, the authors discuss an interdisciplinary team approach for integration of assistive robots in health care applications. In particular, the objective of their interdisciplinary team is to design, integrate, and study socially assistive robots in the resident care practice in long-term care nursing facilities. The authors envision that the model they propose can be easily duplicated in other institutions around the world.",CHHS,Public Health,2010.0
2-s2.0-73949122282,Article,"Given the increasing population of older adults in the United States, it is important to identify indicators of successful aging and the interrelationships among these variables to develop interventions to promote successful aging. This article reports an analysis of indicators of successful aging in a group of older adults from North and South Carolina. Risk factors that may make it harder for older adults to age successfully are identified. The relationships between chronic disease and indicators of successful aging are examined, and potential ideas for interventions to enhance successful aging are discussed.",CHHS,Public Health,2010.0
2-s2.0-73949132147,Article,"America is a diverse culture with multiple people, religions, cultural beliefs, and values. Health promotion is a basic nursing activity. Nurses working in distinct settings interact with multiples cultural groups. Many individuals that are part of diverse cultures are considered vulnerable. Individuals and populations are considered vulnerable because of disparities in health when compared with the dominant population. This article addresses some of the potential influences on health promotion for diverse and vulnerable cultures and identifies strategies to overcome identified barriers. Disparities exist in many health outcomes in the United States; a targeted effort by nurses and other health care providers is key to reducing this gap in health outcomes and improving the health of all Americans.",CHHS,Nursing,2010.0
2-s2.0-73949157563,Article,"Older Hispanic women are at higher risk for chronic debilitating health problems related to higher rates of inactivity and obesity when compared to other ethnic groups. The purpose of this article was to review the literature on the factors which effect levels of physical activity in older Hispanic women. A literature search was conducted using the terms Hispanic or Latina, physical activity, barriers and benefits, self-efficacy, stages of exercise change, and health promotion behaviors. Forty-two studies between 1988 and mid 2007 were selected. Research methods included qualitative, quantitative, interventional, experimental, and cross sectional. There is some research available to guide nurses in assessment of unique factors that may impact the development of culturally appropriate nursing interventions that increase a women's level of physical activity and promote health and well-being. Practical take home points are presented. Areas for future nursing research are identified.",CHHS,Public Health,2010.0
2-s2.0-74049145331,Article,"This paper provides a new way of making decisions- using the wisdom of crowds (collective wisdom) to handle continuous decision making problems, especially in a complex and rapidly changing world. By simulating the Prisoner's Dilemma as a Complex Adaptive System, the key criteria that separate a wise crowd from an irrational one are investigated, and different aggregation strategies are suggested based on different environments.",Computing and Informatics,SIS,2010.0
2-s2.0-74049158261,Article,"Hierarchical classifiers are usually defined as methods of classifying inputs into defined output categories. The classification occurs first on a low-level with highly specific pieces of input data. The classifications of the individual pieces of data are then combined systematically and classified on a higher level iteratively until one output is produced. This final output is the overall classification of the data. In this paper we follow a controlled devise type of approach. The initial group of classifiers is trained using all objects in an information system S partitioned by values of the decision attribute d at its all granularity levels (one classifier per level). Only values of the highest granularity level (corresponding granules are the largest) are used to split S into information sub-systems where each one is built by selecting objects in S of the same decision value. These sub-systems are used for training new classifiers at all granularity levels of its decision attribute. Next, we split each sub-system further by sub-values of its decision value. The obtained tree-structure with groups of classifiers assigned to each of its nodes is called a cascade classifier. Given an incomplete information system with a hierarchical decision attribute d, we consider the problem of training classifiers describing values of d at its lowest granularity level. Taking MIRAI database of music instrument sounds [16], as an example, we show that the confidence of such classifiers can be lower than the confidence of cascade classifiers.",Computing and Informatics,Computer Science,2010.0
2-s2.0-74149089424,Article,"In rental information goods supply chain, such as movie DVDs and computers games, the retailer decides on the quantity of DVDs to purchase from the supplier, the rental fee, and the maximum rental duration. These decisions are directly affected by the price the supplier charges the retailers for the DVDs. In this paper we show that revenue sharing as compared to an independent strategy can result in lower rental fee, larger order quantities and increased profit for both the retailer and supplier. We also show that vertical integration (partnership) can result in higher profits across the supply chain compared to revenue sharing or an independent strategy. We also formulate a model to examine the use of incentives for early return of rented DVDs and show that they can increase profit by increasing circulations of DVDs. We also perform numerical sensitive analysis to examine the impact of rental lifecycle and shortage cost on rental fee, order quantity, and profits.",Business,BISOM,2010.0
2-s2.0-74349106038,Article,"We take an agnostic view of the Phillips curve debate, and carry out an empirical investigation of the relative and absolute efficacy of Calvo sticky price (SP), sticky information (SI), and sticky price with indexation models (SPI), with emphasis on their ability to mimic inflationary dynamics. We look at evidence for a group of 13 OECD countries, and consider three alternative measures of inflationary pressure, including the output gap, labor share, and unemployment. We find that the SPI model is preferable to the Calvo SP and the SI models because it captures the type of strong inflationary persistence that has in the past characterized the economies in our sample. However, two caveats to this conclusion are that improvement in performance is driven mostly by lagged inflation and that the SPI model overemphasizes inflationary persistence. There appears to be room for improvement in all models in order to induce them to better 'track' inflation persistence.",Business,Economics,2010.0
2-s2.0-74349111325,Article,"Research on prayer and posttraumatic growth (PTG) indicates that those who pray report more PTG. Research is beginning to identify which types of prayer may be operating in this relationship. We sought to identify specific prayer functions related to PTG while considering differences due to the types of trauma experienced. Participants were trauma survivors from diverse, Midwestern Christian churches (N = 327). Participants completed questionnaires assessing trauma history, prayer coping functions, and PTG. Multiple linear regression analyses found that praying for calm and focus was independently related to higher levels of PTG. When considering all variables in the model, the relationship between prayer for calm and focus and PTG was not significant for those whose most significant trauma was interpersonal in nature, but significant for those with noninterpersonal trauma.",Liberal Arts and Sciences,Psychology,2010.0
2-s2.0-74449088187,Article,"This study's purpose was to investigate the types and quality of health information reported in Glamour and Men's Health magazines. While neither magazine was completely accurate when reporting results of medical journal articles, there were statistically significant differences with respect to accuracy between the two magazines. These findings suggest that health experts, PIOs, and journalists need to work more closely together in order to provide the public with accurate and clear health information.",CHHS,Public Health,2010.0
2-s2.0-74549126013,Article,"Background: Hispanics are the largest and fastest growing minority group in the United States. Charlotte, NC, had the 4th fastest growing Hispanic community in the nation between 1990 to 2000. Gaining understanding of the patterns of health care use for this changing population is a key step toward designing improved primary care access and community health. Methods: The Multiple Attribute Primary Care Targeting Strategy process was applied to key patient- and community-level attributes describing the Charlotte Hispanic community. Maps were created based on socioeconomic status, population density, insurance status, and use of the emergency department as a primary care safety net. Each of these variables was weighed and added to create a single composite map. Results: Individual attribute maps and the composite map identified geographic locations where Hispanic community members would most benefit from increased access to primary care services. Conclusions: Using the Multiple Attribute Primary Care Targeting Strategy process we were able to identify geographic areas within our community where many Hispanic immigrants face barriers to accessing appropriate primary care services. These areas can subsequently be targeted for interventions that improve access to primary care and reduce emergency department use. The geospatial model created through this process can be monitored over time to determine the effectiveness of these interventions.",Liberal Arts and Sciences,Geography and Earth Sciences,2010.0
2-s2.0-74549174882,Article,"Introduction: A key element for reducing health care costs and improving community health is increased access to primary care and preventative health services. Geographic information systems (GIS) have the potential to assess patterns of health care utilization and community-level attributes to identify geographic regions most in need of primary care access. Methods: GIS, analytical hierarchy process, and multiattribute assessment and evaluation techniques were used to examine attributes describing primary care need and identify areas that would benefit from increased access to primary care services. Attributes were identified by a collaborative partnership working within a practice-based research network using tenets of community-based participatory research. Maps were created based on socioeconomic status, population density, insurance status, and emergency department and primary care safety-net utilization. Results: Individual and composite maps identified areas in our community with the greatest need for increased access to primary care services. Conclusions: Applying GIS to commonly available community- and patient-level data can rapidly identify areas most in need of increased access to primary care services. We have termed this a Multiple Attribute Primary Care Targeting Strategy. This model can be used to plan health services delivery as well as to target and evaluate interventions designed to improve health care access.",Liberal Arts and Sciences,Geography and Earth Sciences,2010.0
2-s2.0-74549198294,Article,"In this article we argue that a component of structuration theory-the duality of structure-is a valuable heuristic for an integrative framework seeking to explain the role of communication in how membership is negotiated over time. The membership negotiations (MNs) perspective detailed here considers structural features of negotiation processes, while accounting for how active participation of newcomers and incumbents sustains and alters them. We offer a model of MNs and 18 propositions concerning how role expectations, group/organizational norms, formal structure, external and indirect sources of socialization, identification, power relationships, and member interaction are media for ongoing organizational MNs. Through these media, incumbents and newcomers interactively rely upon, sustain, and occasionally alter focal structures, practices, and the meanings of membership.",Liberal Arts and Sciences,Organizational Science,2010.0
2-s2.0-75149148660,Article,"Harm-reduction principles, such as empowerment of clients and goals for moderation, align well with the cultural worldviews of many clients of color. Empirically supported harm-reduction strategies often work well with ethnic minority clients. However, clients of color require special clinical considerations. A case study illustrates the use of the community participatory model, which combines harm reduction, cultural sensitivity, and community support. Treatment services can be provided under one roof to eliminate barriers to seeking and receiving services. Harm-reduction therapists can carefully assess and diagnose clients of color to minimize the potential shortcomings and cultural biases in assessment tools. Therapy will include the family and incorporate traditional practices as desired by clients. Use of these methods will empower and support clients of color as they seek their treatment goals.",Liberal Arts and Sciences,Psychology,2010.0
2-s2.0-75149161750,Article,"We study a drop-shipping supply chain in which the retailer receives a customer's order and the supplier fills it. In such a chain, the supplier keeps inventory and bears inventory risks; the retailer focuses on marketing and customer acquisition, and forwards the orders to the supplier. The retailer usually has better customer demand information, and may send an over-estimated demand forecast to maximize her own interest, which may result in overstock for the supplier. On the other hand, since the retailer does not own inventory, the main concern of the retailer is that the acquired orders may not be fulfilled because of the supplier's shortage of stock. To cope with these challenges, we propose a menu of commitment-penalty contracts that can provide greater certainty of demand as well as greater certainty of supply. We focus our study in the asymmetric demand information case and we show that the supplier can obtain the retailer's demand information by offering a menu of commitment-penalty contracts. Under this mechanism, we find the solution that maximizes the supplier's expected profit.",Business,Management,2010.0
2-s2.0-75149186003,Article,"Studies suggest that students who participate in extracurricular activities benefit in a number of ways. However, schools provide different opportunities to participate in these activities. Using information from high school yearbooks and administrative data on students and schools in North Carolina, we examine whether school characteristics influence the numbers and types of extracurricular activities available, whether schools providing more and diverse activities have higher participation rates, and whether these schools have better academic outcomes. We find that school size and poverty levels significantly influence the number and types of activities available, with larger schools and those schools with more affluent student bodies offering more activities. In addition, schools with more activities available tend to have higher participation rates. Opportunities to participate are associated with positive academic outcomes for the school, even when controlling for school resources. For some-but not all-activities, student participation rates mediate the relationship between activity availability and the school's academic profile. For benefits to be present, schools must provide these resources, and students must invest in them.",Liberal Arts and Sciences,Sociology,2010.0
2-s2.0-75549083539,Article,It is well known that asymmetric information can be a catalyst for producing a lemons market. What is much less well known is how different institutional arrangements and their concomitant information conditions affect the lemons outcome. We conduct a laboratory experiment to examine the role that two different types of markets-two-sided multilateral negotiations and posted offers-play in an environment with sufficient conditions to yield a lemons outcome. We also investigate the effect that publicly available prices and advertisements have on buyers and sellers in a posted-offer market.,Business,Economics,2010.0
2-s2.0-75649085627,Article,"The purpose of this investigation was to compare dynamic postural control and mechanical ankle stability among patients with and without chronic ankle instability (CAI) and controls. Seventy-two subjects were divided equally into three groups: uninjured controls, people with previous ankle injury but without CAI, and people with CAI. Subjects completed a single-leg hop-stabilization task, and then had an anterior drawer test and lateral ankle radiograph performed bilaterally. The dynamic postural stability index was calculated from the ground reaction forces of the single-leg hop-stabilization task. Ankle joint stiffness (N/m) was measured with an instrumented arthrometer during the anterior drawer test, and fibula position was assessed from the radiographic image. Patients with previous ankle injuries but without CAI demonstrated higher frontal plane dynamic postural stability scores than both the uninjured control and CAI groups (P<0.01). Patients with and without CAI had significantly higher sagittal plane dynamic postural stability scores (P<0.01) and increased ankle joint stiffness (P=0.045) relative to the control group. The increased frontal plane dynamic postural control may represent a component of a coping mechanism that limits recurrent sprains and the development of CAI. Mechanical stability alterations are speculated to result from the initial ankle trauma.",CHHS,Kinesiology,2010.0
2-s2.0-75949126017,Article,"A short form of the Posttraumatic Growth Inventory (PTGI-SF) is described. A sample of 1351 adults who had completed the Posttraumatic Growth Inventory (PTGI) in previous studies provided the basis for item selection. The resulting 10- item form includes two items from each of the five subscales of the original PTGI, selected on the basis of loadings on the original factors and breadth of item content. A separate sample of 186 completed the short form of the scale (PTGISF). Confirmatory factor analyses on both data sets demonstrated a five-factor structure for the PTGI-short form (PTGI-SF) equivalent to that of the PTGI. Three studies of homogenous clinical samples (bereaved parents, intimate partner violence victims, and acute leukemia patients) demonstrated that the PTGI-SF yields relationships with other variables of interest that are equivalent to those found using the original form of the PTGI. A final study demonstrated that administering the 10 short-form items in a random order, rather than in the fixed context of the original scale, did not impact the performance of the PTGI-SF. Overall, these results indicate that the PTGI-SF could be substituted for the PTGI with little loss of information.",Liberal Arts and Sciences,Psychology,2010.0
